year,rainfall,monsoon,score,crop,district_ernakulam,district_idukki,district_kannur,district_kollam,district_kottayam,district_kozhikode,district_malappuram,district_palakkad,district_pathanamthitta,district_thiruvananthapuram,district_thrissur,district_wayanad
2004,2796.5,1380.6,0.802637359214457,rice,False,False,False,False,False,False,False,False,False,False,False,False
2005,2598.8,1532.1,0.7751489567815277,rice,False,False,False,False,False,False,False,False,False,False,False,False
2006,3020.6,1656.7,0.9484367562934304,rice,False,False,False,False,False,False,False,False,False,False,False,False
2007,3106.6,2163.4,0.643268809987334,coconut,False,False,False,False,False,False,False,False,False,False,False,False
2008,2584.9,1549.2,1.0,rice,False,False,False,False,False,False,False,False,False,False,False,False
2009,2501.1,1477.4,0.9793735877501972,rice,False,False,False,False,False,False,False,False,False,False,False,False
2010,3058.4,1502.1,0.7635171409880062,rice,False,False,False,False,False,False,False,False,False,False,False,False
2013,2823.9,2110.9,0.9809483850712738,rice,False,False,False,False,False,False,False,False,False,False,False,False
2014,2469.0,1561.3,0.965226691244092,rice,False,False,False,False,False,False,False,False,False,False,False,False
2004,3203.5,1714.1,0.5681394498235264,coconut,True,False,False,False,False,False,False,False,False,False,False,False
2005,3401.9,2488.8,0.7074920020190986,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2006,3858.0,2241.9,0.6832914075732004,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2007,4045.7,3095.2,0.7844667384384685,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2008,2874.2,1875.4,0.7525041742698728,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2009,3261.6,2263.5,0.7201188948394008,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2010,4073.2,2353.8,0.7088642828061651,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2013,3658.2,2774.1,0.612539381964736,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
2014,3435.5,2376.1,0.7197350662395747,arecanut,True,False,False,False,False,False,False,False,False,False,False,False
1997,2340.707,1257.882,0.8104861044790374,arecanut,False,True,False,False,False,False,False,False,False,False,False,False
1998,2669.093,1492.912,0.788275815324637,banana,False,True,False,False,False,False,False,False,False,False,False,False
1999,1996.409,835.269,0.6432868296429028,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2000,2085.036,1339.011,0.6766743342768692,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2001,2511.137,1588.716,0.6,garlic,False,True,False,False,False,False,False,False,False,False,False,False
2002,1664.969,642.332,0.6469308610163346,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2004,3834.1,2498.3,0.660245972015798,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2005,5707.0,4377.5,0.712284074964227,blackpepper,False,True,False,False,False,False,False,False,False,False,False,False
2006,4014.8,2414.4,0.7764177535410958,arecanut,False,True,False,False,False,False,False,False,False,False,False,False
2007,4453.2,3443.3,0.6041321958814074,arecanut,False,True,False,False,False,False,False,False,False,False,False,False
2008,3031.2,2278.4,0.6359731047219583,arecanut,False,True,False,False,False,False,False,False,False,False,False,False
2009,3317.5,2295.4,0.6183911168460728,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2010,3568.6,2413.5,0.6553902286693243,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2013,4060.4,3345.2,0.9233169941988577,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2014,3683.0,2706.8,1.0,turmeric,False,True,False,False,False,False,False,False,False,False,False,False
2004,3422.6,2191.9,0.766123992403059,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2005,2642.7,2140.6,0.8147537573106995,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2006,3426.3,2471.2,0.7854427688359491,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2007,4092.1,3445.1,0.7027917318538748,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2008,2822.5,2086.1,0.865627157898299,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2009,3533.8,2701.9,0.8627294048222176,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2010,3497.3,2583.8,0.7576212467892709,turmeric,False,False,True,False,False,False,False,False,False,False,False,False
2013,4022.4,3441.3,0.8376138626574636,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2014,3533.5,2862.4,0.8109753658769765,arecanut,False,False,True,False,False,False,False,False,False,False,False,False
2004,2446.7,1127.9,0.8104912645549311,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2005,2428.1,1143.8,0.8661361244610539,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2006,2859.3,1321.0,0.8789162203038858,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2007,2751.0,1744.3,0.79467328890371,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2008,2207.4,1174.0,0.8640010519830961,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2009,2127.9,1100.1,0.8446309311164304,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2010,2788.8,1282.4,0.8121274669800302,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2013,2688.9,1777.4,0.8718969964617063,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2014,2511.4,1422.9,0.8520744495225219,coconut,False,False,False,True,False,False,False,False,False,False,False,False
2004,2913.3,1380.1,0.6029856947302177,rice,False,False,False,False,True,False,False,False,False,False,False,False
2005,3385.5,2073.9,0.5813257852846017,rice,False,False,False,False,True,False,False,False,False,False,False,False
2006,3755.2,1991.3,0.6133983137716483,rice,False,False,False,False,True,False,False,False,False,False,False,False
2007,3468.0,2406.3,0.6276569345462615,rice,False,False,False,False,True,False,False,False,False,False,False,False
2008,2533.8,1536.1,0.7326867183238676,rice,False,False,False,False,True,False,False,False,False,False,False,False
2009,2435.9,1519.5,0.6245422139629049,rice,False,False,False,False,True,False,False,False,False,False,False,False
2010,3671.5,1894.9,0.6484846892773704,rice,False,False,False,False,True,False,False,False,False,False,False,False
2013,3605.6,2581.2,0.7927404268453235,rice,False,False,False,False,True,False,False,False,False,False,False,False
2014,3349.8,2106.2,0.7142188810052061,rice,False,False,False,False,True,False,False,False,False,False,False,False
2004,3348.4,2069.4,0.6005662380811477,arecanut,False,False,False,False,False,True,False,False,False,False,False,False
2005,2347.1,1826.8,0.6461051251650953,arecanut,False,False,False,False,False,True,False,False,False,False,False,False
2006,3658.6,2628.7,0.5539092856136838,coconut,False,False,False,False,False,True,False,False,False,False,False,False
2007,4701.4,3587.3,0.6102107739653662,arecanut,False,False,False,False,False,True,False,False,False,False,False,False
2008,3328.3,2220.6,0.7616619199571231,arecanut,False,False,False,False,False,True,False,False,False,False,False,False
2009,4027.2,3062.4,0.6955584672490883,arecanut,False,False,False,False,False,True,False,False,False,False,False,False
2010,3873.9,2684.3,0.5594785002189588,turmeric,False,False,False,False,False,True,False,False,False,False,False,False
2013,3843.6,3166.6,0.6354517007626613,coconut,False,False,False,False,False,True,False,False,False,False,False,False
2014,3566.1,2773.7,0.6619974567735503,coconut,False,False,False,False,False,True,False,False,False,False,False,False
2004,2626.2,1538.9,0.4956700012439833,arecanut,False,False,False,False,False,False,True,False,False,False,False,False
2005,2632.0,1934.1,0.46543841785162404,coconut,False,False,False,False,False,False,True,False,False,False,False,False
2006,3407.7,2237.1,0.6,jowar,False,False,False,False,False,False,True,False,False,False,False,False
2007,3543.7,2915.9,0.5663194345979052,arecanut,False,False,False,False,False,False,True,False,False,False,False,False
2008,2144.8,1407.9,0.6510931170307355,arecanut,False,False,False,False,False,False,True,False,False,False,False,False
2009,2510.7,1831.1,0.7021166512021229,arecanut,False,False,False,False,False,False,True,False,False,False,False,False
2010,2610.3,1716.3,0.5378815210838656,coconut,False,False,False,False,False,False,True,False,False,False,False,False
2013,3214.9,2677.7,0.5705183219449499,arecanut,False,False,False,False,False,False,True,False,False,False,False,False
2014,3133.1,2312.2,0.665296573382453,arecanut,False,False,False,False,False,False,True,False,False,False,False,False
2004,2225.3,1419.1,0.6,cotton,False,False,False,False,False,False,False,True,False,False,False,False
2005,2647.9,1971.7,0.6541943401466974,turmeric,False,False,False,False,False,False,False,True,False,False,False,False
2006,2658.7,1722.0,0.6477422209382734,turmeric,False,False,False,False,False,False,False,True,False,False,False,False
2007,3269.6,2643.3,0.591840936006497,coconut,False,False,False,False,False,False,False,True,False,False,False,False
2008,1883.7,1260.6,0.7096940430634531,arecanut,False,False,False,False,False,False,False,True,False,False,False,False
2009,2497.6,1779.9,0.6306898052896719,arecanut,False,False,False,False,False,False,False,True,False,False,False,False
2010,2458.5,1500.9,0.6557708704582457,turmeric,False,False,False,False,False,False,False,True,False,False,False,False
2013,2570.8,2089.0,1.0,drumstick,False,False,False,False,False,False,False,True,False,False,False,False
2014,2278.5,1708.2,0.7023108447873816,rice,False,False,False,False,False,False,False,True,False,False,False,False
2004,2932.1,1352.2,0.506463462081983,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2005,3349.2,1898.2,0.6243709863555134,arecanut,False,False,False,False,False,False,False,False,True,False,False,False
2006,3043.2,1520.2,0.6331289403194105,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2007,3251.4,2157.7,0.671463374782187,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2008,2657.8,1645.4,0.655215126746013,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2009,2302.6,1349.7,0.823241176292911,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2010,3243.2,1596.6,0.690869606917502,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2013,2847.3,1928.4,0.7597379733344604,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2014,3143.5,1913.3,0.7860743429180226,tapioca,False,False,False,False,False,False,False,False,True,False,False,False
2004,1910.6,891.9,0.5322868811428985,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2005,2132.8,766.8,0.6028722400464033,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2006,2321.5,1025.8,0.6,jowar,False,False,False,False,False,False,False,False,False,True,False,False
2007,2051.1,1111.6,0.5934034262523116,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2008,1931.5,785.5,0.631135871580082,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2009,1482.9,658.2,0.625564789588509,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2010,2140.8,704.7,0.5575170515281068,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2013,1845.1,1108.7,0.599889396616198,drumstick,False,False,False,False,False,False,False,False,False,True,False,False
2014,1912.0,909.1,0.6757301004847123,coconut,False,False,False,False,False,False,False,False,False,True,False,False
2004,2927.7,1671.7,0.7033904012967102,coconut,False,False,False,False,False,False,False,False,False,False,True,False
2005,2857.0,2313.1,0.7140796148088416,coconut,False,False,False,False,False,False,False,False,False,False,True,False
2006,3576.7,2303.1,0.634186259819455,coconut,False,False,False,False,False,False,False,False,False,False,True,False
2007,3954.3,3147.0,0.6243335171662825,coconut,False,False,False,False,False,False,False,False,False,False,True,False
2008,2310.1,1566.8,0.6169948588573051,coconut,False,False,False,False,False,False,False,False,False,False,True,False
2009,3090.3,2304.7,0.6183923231771589,coconut,False,False,False,False,False,False,False,False,False,False,True,False
2010,3114.4,1921.9,0.5998762695231277,tapioca,False,False,False,False,False,False,False,False,False,False,True,False
2013,3184.0,2456.0,0.6763608243868701,tapioca,False,False,False,False,False,False,False,False,False,False,True,False
2014,2777.6,1947.7,0.7354535383204572,tapioca,False,False,False,False,False,False,False,False,False,False,True,False
2004,2633.3,1809.1,0.6814916128085889,blackpepper,False,False,False,False,False,False,False,False,False,False,False,True
2005,3211.8,2485.5,0.6171626521265677,blackpepper,False,False,False,False,False,False,False,False,False,False,False,True
2006,2586.2,1831.4,0.6086473693980021,blackpepper,False,False,False,False,False,False,False,False,False,False,False,True
2007,3092.8,2624.0,0.5899952778827119,rice,False,False,False,False,False,False,False,False,False,False,False,True
2008,2142.4,1302.3,0.6009671836996251,rice,False,False,False,False,False,False,False,False,False,False,False,True
2009,2722.5,1991.6,0.7306376480253061,turmeric,False,False,False,False,False,False,False,False,False,False,False,True
2010,2042.3,1329.3,0.6684739821991913,turmeric,False,False,False,False,False,False,False,False,False,False,False,True
2013,3170.3,2689.6,0.6304223903200978,blackpepper,False,False,False,False,False,False,False,False,False,False,False,True
2014,3259.6,2559.6,0.8408789298031913,blackpepper,False,False,False,False,False,False,False,False,False,False,False,True
